# Easting, Northing
7398885,-5684650
7398881,-5684666
7398877,-5684681
7398873,-5684696
7398869,-5684711
7398865,-5684726
7398861,-5684741
7398857,-5684756
7398853,-5684771
7398849,-5684787
7398845,-5684802
7398841,-5684817
7398837,-5684832
7398833,-5684847
7398829,-5684862
7398825,-5684877
7398821,-5684892
7398817,-5684908
7398813,-5684923
7398809,-5684938
7398805,-5684953
7398801,-5684968
7398797,-5684983
7398793,-5684998
7398784,-5685010
7398774,-5685022
7398765,-5685035
7398755,-5685047
7398746,-5685059
7398736,-5685071
7398727,-5685083
7398718,-5685095
7398708,-5685107
7398699,-5685119
7398689,-5685131
7398680,-5685143
7398670,-5685155
7398661,-5685167
7398651,-5685179
7398642,-5685192
7398633,-5685204
7398623,-5685216
7398614,-5685228
7398604,-5685240
7398595,-5685252
7398597,-5685267
7398600,-5685282
7398602,-5685297
7398605,-5685312
7398607,-5685328
7398610,-5685343
7398612,-5685358
7398614,-5685373
7398617,-5685388
7398619,-5685403
7398622,-5685419
7398624,-5685434
7398627,-5685449
7398629,-5685464
7398632,-5685479
7398634,-5685494
7398636,-5685509
7398639,-5685525
7398641,-5685540
7398644,-5685555
7398646,-5685570
7398658,-5685570
7398670,-5685570
7398682,-5685570
7398694,-5685570
7398705,-5685570
7398705,-5685585
7398705,-5685601
7398705,-5685616
7398705,-5685632
7398705,-5685647
7398704,-5685663
7398704,-5685678
7398704,-5685694
7398704,-5685710
7398704,-5685725
7398704,-5685741
7398704,-5685756
7398703,-5685772
7398703,-5685787
7398703,-5685803
7398703,-5685818
7398703,-5685834
7398703,-5685849
7398703,-5685865
7398702,-5685881
7398702,-5685896
7398702,-5685912
7398704,-5685927
7398707,-5685943
7398709,-5685958
7398712,-5685974
7398714,-5685989
7398716,-5686005
7398719,-5686020
7398721,-5686036
7398723,-5686051
7398726,-5686067
7398728,-5686082
7398730,-5686098
7398733,-5686113
7398735,-5686129
7398738,-5686144
7398740,-5686160
7398742,-5686176
7398745,-5686191
7398747,-5686207
7398749,-5686222
7398752,-5686238
7398737,-5686236
7398723,-5686235
7398708,-5686234
7398694,-5686232
7398679,-5686231
7398665,-5686229
7398650,-5686228
7398636,-5686227
7398621,-5686225
7398607,-5686224
7398592,-5686223
7398581,-5686215
7398569,-5686206
7398558,-5686198
7398546,-5686190
7398535,-5686182
7398524,-5686174
7398512,-5686166
7398501,-5686158
7398489,-5686150
7398487,-5686165
7398486,-5686181
7398484,-5686197
7398482,-5686212
7398480,-5686228
7398478,-5686244
7398476,-5686260
7398474,-5686275
7398472,-5686291
7398471,-5686307
7398469,-5686323
7398467,-5686338
7398465,-5686354
7398463,-5686370
7398461,-5686385
7398459,-5686401
7398457,-5686417
7398455,-5686433
7398454,-5686448
7398452,-5686464
7398450,-5686480
7398448,-5686496
7398446,-5686511
7398444,-5686527
7398442,-5686543
7398440,-5686558
7398439,-5686574
7398437,-5686590
7398435,-5686606
7398433,-5686621
7398431,-5686637
7398429,-5686653
7398427,-5686668
7398425,-5686684
7398423,-5686700
7398422,-5686716
7398420,-5686731
7398418,-5686747
7398416,-5686763
7398416,-5686779
7398416,-5686794
7398416,-5686810
7398416,-5686826
7398416,-5686841
7398416,-5686857
7398416,-5686873
7398416,-5686888
7398416,-5686904
7398416,-5686920
7398416,-5686935
7398416,-5686951
7398416,-5686967
7398416,-5686982
7398416,-5686998
7398416,-5687014
7398416,-5687029
7398416,-5687045
7398416,-5687061
7398416,-5687076
7398416,-5687092
7398416,-5687108
7398416,-5687123
7398416,-5687139
7399136,-5685059
7399132,-5685073
7399127,-5685087
7399122,-5685101
7399117,-5685114
7399113,-5685128
7399108,-5685142
7399103,-5685156
7399099,-5685169
7399094,-5685183
7399089,-5685197
7399084,-5685211
7399080,-5685224
7399075,-5685238
7399070,-5685252
7399070,-5685268
7399069,-5685283
7399069,-5685299
7399068,-5685315
7399068,-5685330
7399067,-5685346
7399067,-5685362
7399066,-5685378
7399066,-5685393
7399065,-5685409
7399065,-5685425
7399064,-5685440
7399064,-5685456
7399063,-5685472
7399063,-5685487
7399062,-5685503
7399061,-5685519
7399061,-5685535
7399060,-5685550
7399060,-5685566
7399059,-5685582
7399059,-5685597
7399058,-5685613
7399058,-5685629
7399057,-5685645
7399057,-5685660
7399056,-5685676
7399056,-5685692
7399055,-5685707
7399055,-5685723
7399054,-5685739
7399048,-5685753
7399041,-5685768
7399034,-5685782
7399028,-5685797
7399021,-5685812
7399015,-5685826
7399008,-5685841
7399001,-5685855
7398995,-5685870
7398988,-5685884
7398981,-5685899
7398975,-5685913
7398968,-5685928
7398962,-5685943
7398955,-5685957
7398948,-5685972
7398942,-5685986
7398935,-5686001
